abide abode abided
alight alit alit
arise arose arisen
awake awoke awoken
backbite backbit backbitten
backslide backslid backslid
bear bore borne
beat beat beat
become became become
befall befell befallen
beget begot begotten
begin began begun
behold beheld beheld
bend bent bent
bereave bereft bereft
beseech besought besought
beset beset beset
bestrew bestrewed bestrewn
betake betook betaken
bethink bethought bethought
bid bade bidden
bind bound bound
bite bit bitten
bleed bled bled
blow blew blown
break broke broken
breed bred bred
bring brought brought
browbeat browbeat browbeaten
build built built
burn burnt burnt
buy bought bought
catch caught caught
chide chid chidden
choose chose chosen
clap clapt clapt
cling clung clung
clothe clad clad
colorbreed colorbred colorbred
come came come
creep crept crept
crossbreed crossbred crossbred
dare dared durst
daydream daydreamt daydreamt
deal dealt dealt
dig dug dug
disprove disproved disproven
dive dove dived
dive dove dived
do did done
draw drew drawn
dream dreamt dreamt
drink drank drunk
drive drove driven
dwell dwelt dwelled
eat ate eaten
enwind enwound enwound
fall fell fallen
feed fed fed
feel felt felt
fight fought fought
find found found
fit fitted fitted
flee fled fled
fling flung flung
fly flew flown
forbear forbore forborne
forbid forbade forbidden
fordo fordid fordone
forego forewent foregone
foreknow foreknew foreknown
forerun foreran forerun
foresee foresaw foreseen
foreshow foreshowed foreshown
forespeak forespoke forespoken
foretell foretold foretold
forget forgot forgotten
forgive forgave forgiven
forsake forsook forsaken
forswear forswore forsworn
freeze froze frozen
frostbite frostbit frostbitten
gainsay gainsaid gainsaid
get got gotten
gild gilt gilt
give gave given
go went gone
grind ground ground
grow grew grown
hagride hagrode hagridden
halterbreak halterbroke halterbroken
hamstring hamstrung hamstrung
handwrite handwrote handwritten
hang hung hung
have had had
hear heard heard
heave hove hove
hew hewed hewn
hide hid hidden
hold held held
inbreed inbred inbred
inlay inlaid inlaid
interbreed interbred interbred
interlay interlaid interlaid
interweave interwove interwoven
interwind interwound interwound
inweave inwove inwoven
jerry-build jerry-built jerry-built
keep kept kept
kneel knelt knelt
know knew known
lade laded laden
landslide landslid landslid
lay laid laid
lead led led
lean leant leant
leap leapt leapt
learn learnt learnt
leave left left
lend lent lent
lie lay lain
light lit lit
lose lost lost
make made made
mean meant meant
meet met met
misbecome misbecame misbecome
misdeal misdealt misdealt
misdo misdid misdone
mishear misheard misheard
mishit mishit mishit
mislay mislaid mislaid
mislead misled misled
mislearn mislearnt mislearnt
missay missaid missaid
missend missent missent
misspeak misspoke misspoken
misspell misspelt misspelt
misspend misspent misspent
misswear misswore missworn
mistake mistook mistaken
misteach mistaught mistaught
mistell mistold mistold
misthink misthought misthought
misunderstand misunderstood misunderstood
miswear miswore misworn
miswed miswedded miswedded
miswrite miswrote miswritten
mow mowed mown
outbreed outbred outbred
outdo outdid outdone
outdraw outdrew outdrawn
outdrink outdrank outdrunk
outdrive outdrove outdriven
outfight outfought outfought
outfly outflew outflown
outgrow outgrew outgrown
outlay outlaid outlaid
outleap outleapt outleapt
outride outrode outridden
outrun outran outrun
outsee outsaw outseen
outsell outsold outsold
outshine outshone outshone
outshoot outshot outshot
outsing outsang outsung
outsit outsat outsat
outsleep outslept outslept
outsmell outsmelt outsmelt
outspeak outspoke outspoken
outspeed outsped outsped
outspend outspent outspent
outspin outspun outspun
outspring outsprang outsprung
outstand outstood outstood
outswear outswore outsworn
outswim outswam outswum
outtell outtold outtold
outthink outthought outthought
outthrow outthrew outthrown
outwear outwore outworn
outwind outwound outwound
outwrite outwrote outwritten
overbear overbore overborn
overbreed overbred overbred
overbuild overbuilt overbuilt
overbuy overbought overbought
overcome overcame overcome
overdo overdid overdone
overdraw overdrew overdrawn
overdrink overdrank overdrunk
overeat overate overeaten
overfeed overfed overfed
overhang overhung overhung
overhear overheard overheard
overlay overlaid overlaid
overleap overleapt overleapt
overlie overlay overlain
overpay overpaid overpaid
override overrode overridden
overrun overran overrun
oversee oversaw overseen
oversell oversold oversold
overset overset overset
